gen,best_score,mean_score,median_score,std_score,avg_trades,best_trades,best_cagr,best_sharpe,best_sortino,best_pf,best_maxdd,best_calmar,best_expectancy
0,2.355493612378123,0.9572159561240592,0.8410978882153487,0.7468168723500954,30.75,37,3.0,5.0,5.0,7.129061290825636,0.02331301676746549,128.68347455515297,906.654379229942
1,2.355493612378123,1.7008259793893192,2.021379323860179,0.6583305152145029,64.575,37,3.0,5.0,5.0,7.129061290825636,0.02331301676746549,128.68347455515297,906.654379229942
2,2.355493612378123,1.8065059723682784,2.0670231263466357,0.5953007389239796,72.84166666666667,37,3.0,5.0,5.0,7.129061290825636,0.02331301676746549,128.68347455515297,906.654379229942
3,2.4556319682523116,1.882684476625728,2.1165060043578166,0.5383461619102454,71.94166666666666,47,3.0,5.0,5.0,10.0,0.02785571765840482,107.69781761823751,1851.6680911347203
4,2.473658832825336,1.747337815486218,2.0952470328475914,0.6966909492300205,61.208333333333336,36,3.0,5.0,5.0,10.0,0.012946311392822816,231.7262352937951,1042.3583012281247
5,2.473658832825336,1.7579789162190425,2.156117123640932,0.7299142415235544,54.05833333333333,36,3.0,5.0,5.0,10.0,0.012946311392822816,231.7262352937951,1042.3583012281247
6,2.473658832825336,1.702676997091754,2.1455711174260754,0.7908105296986522,49.63333333333333,36,3.0,5.0,5.0,10.0,0.012946311392822816,231.7262352937951,1042.3583012281247
7,2.473658832825336,1.7583928233698303,2.144597763830851,0.7504653500494098,53.8,36,3.0,5.0,5.0,10.0,0.012946311392822816,231.7262352937951,1042.3583012281247
8,2.473658832825336,1.885819783895676,2.1730514380510986,0.7059187491208218,55.291666666666664,36,3.0,5.0,5.0,10.0,0.012946311392822816,231.7262352937951,1042.3583012281247
9,2.473658832825336,1.8603083326806558,2.2028292800858944,0.7965723860060121,48.166666666666664,36,3.0,5.0,5.0,10.0,0.012946311392822816,231.7262352937951,1042.3583012281247
10,2.4750600890619285,1.8066593402297213,2.19471418534166,0.7810182687124143,43.35,35,3.0,5.0,5.0,10.0,0.005128802903296573,584.9318167543014,615.9942108226461
11,2.480974570359401,1.7995015955655427,2.1950294745298913,0.8007805215948449,41.583333333333336,36,3.0,5.0,5.0,10.0,0.007410099797811858,404.85284704072075,381.8307660725448
12,2.480974570359401,1.6331302692985958,2.153121442747202,0.8834193817194134,41.11666666666667,36,3.0,5.0,5.0,10.0,0.007410099797811858,404.85284704072075,381.8307660725448
13,2.4814860143555775,1.754234920443353,2.1628545529011087,0.8587569246102384,40.975,59,3.0,5.0,5.0,10.0,0.006978271509811087,429.90588654828866,569.7102241094996
14,2.485795712292234,1.7867757858423168,2.196390249280013,0.7895027892110341,38.725,32,3.0,5.0,5.0,10.0,0.00952084809633215,315.09797968058456,316.324480638594
15,2.486567930284366,1.6302103598794264,2.0702563007975314,0.8719964757310987,34.416666666666664,48,3.0,5.0,5.0,10.0,0.0010682285104977986,2808.387878172235,240.80094626033153
16,2.486567930284366,1.7197928043053432,2.126492558215954,0.8141595906504345,38.725,48,3.0,5.0,5.0,10.0,0.0010682285104977986,2808.387878172235,240.80094626033153
17,2.49255295473529,1.754647676431987,2.1241019290231806,0.7761081969842623,37.05833333333333,38,3.0,5.0,5.0,10.0,0.0006666058301983155,4500.410683638183,451.88100454074333
